,iso_code,location,date,total_cases,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,people_vaccinated_per_hundred,population,gdp_per_capita
138,MSR,Montserrat,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,4981.0,0.0
139,MUS,Mauritius,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,1273428.0,20292.745
140,MWI,Malawi,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,19647681.0,1095.0420000000004
141,MYS,Malaysia,2020-01,1.2580645161290323,0.0,0.0,0.038387096774193545,0.0011290322580645162,0.0,32776195.0,26808.163999999993
142,NAM,Namibia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2587344.0,9541.807999999999
143,NCL,New Caledonia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,288217.0,0.0
144,NER,Niger,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,25130810.0,926.0
145,NGA,Nigeria,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,211400704.0,5338.453999999999
146,NIC,Nicaragua,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,6702379.0,5321.443999999999
147,NIU,Niue,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,1614.0,0.0
148,NLD,Netherlands,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,17173094.0,48472.544999999984
149,NOR,Norway,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,5465629.0,64800.05700000002
150,NPL,Nepal,2020-01,0.22580645161290322,0.0,0.0,0.00767741935483871,0.00016129032258064516,0.0,29674920.0,2442.804000000002
151,NRU,Nauru,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,10873.0,12895.635000000006
152,NZL,New Zealand,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,5126300.0,36085.84300000001
153,OMN,Oman,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,5223376.0,37960.709000000024
154,PAK,Pakistan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,225199929.0,5034.708000000001
155,PAN,Panama,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,4381583.0,22267.037000000008
156,PCN,Pitcairn,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
157,PER,Peru,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,33359415.0,12236.706000000004
158,PHL,Philippines,2020-01,0.06451612903225806,0.0,0.0,0.0005806451612903226,0.0,0.0,111046910.0,7599.1879999999965
159,PLW,Palau,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,18174.0,13240.405000000012
160,PNG,Papua New Guinea,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,9119005.0,3823.1940000000022
161,POL,Poland,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,37797000.0,27216.44499999998
162,PRT,Portugal,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,10167923.0,27936.895999999982
163,PRY,Paraguay,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,7219641.0,8827.010000000004
164,PSE,Palestine,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,5222756.0,4449.897999999999
165,PYF,French Polynesia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,282534.0,0.0
166,QAT,Qatar,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,2930524.0,116935.60000000006
167,ROU,Romania,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,19127772.0,23313.19900000001
168,RUS,Russia,2020-01,0.06451612903225806,0.0,0.0,0.00045161290322580643,0.0,0.0,145912022.0,24765.954000000016
169,RWA,Rwanda,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,13276517.0,1854.2110000000011
170,SAU,Saudi Arabia,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,35340680.0,49045.41100000001
171,SDN,Sudan,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,44909351.0,4466.507
172,SEN,Senegal,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,17196308.0,2470.5800000000013
173,SGP,Singapore,2020-01,1.7096774193548387,0.0,0.0,0.31351612903225806,0.021967741935483873,0.0,5453600.0,85535.38299999996
174,SHN,Saint Helena,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,6095.0,0.0
175,SLB,Solomon Islands,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,703995.0,2205.9230000000002
176,SLE,Sierra Leone,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,8141343.0,1390.3000000000004
177,SLV,El Salvador,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,6518500.0,7292.458000000006
178,SMR,San Marino,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,34010.0,56861.46999999998
